expression,user_answer,correct_answer,correct,time_taken
4/5 + 8/9,76/45,76/45,True,175.79412746429443
1/2 - 3/4,1/4,-1/4,False,179.18248677253723
2/7 * 2/3,4/21,4/21,True,55.228816509246826
2/3 + 2/5,1/2,16/15,False,14.137298345565796
7/8 + 1/7,57/56,57/56,True,177.53429222106934
2/9 - 1/2,1/2,-5/18,False,5.621786594390869
1/3 * 7/10,1/2,7/30,False,0.8865261077880859
5/6 - 2/5,1/2,13/30,False,0.6929159164428711
2/3 - 1/10,1/2,17/30,False,0.6628491878509521
5/8 / 3/5,1/2,25/24,False,0.6648008823394775
